Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
1,1,RFANT3216120A5T,Antennas 2450+/-50MHz 2.9GHz Fc 2dBi,RFANT3216120A5T,ANT1,Walsin Technology Corporation,RFANT3216120A5T,435,,,
2,1,BAT,,1042P,B1,Keystone Electronics,1042P,196,,,
3,1,0.1 uF,"SMD Comm X7R, Ceramic, 0.1 uF, 10p, 50 VDC, X7R, SMD, MLCC, Temperature Stable, Class II, 0603",C0603C104K5RACTU,C1,Kemet,C0603C104K5RACTU,598,,,
4,1,1 uF,,JMK105BJ105KV-F,C2,TAIYO YUDEN,JMK105BJ105KV-F,148,,,
5,1,1 uF,,JMK105BJ105KV-F,C3,TAIYO YUDEN,JMK105BJ105KV-F,151,,,
6,1,10 uF,,JMK105BJ105KV-F,C4,TAIYO YUDEN,JMK105BJ105KV-F,710,,,
7,1,100 nF,,0603YC104KAZ2A,C5,AVX,0603YC104KAZ2A,424,,,
8,1,100 nF,,0603YC104KAZ2A,C6,AVX,0603YC104KAZ2A,415,,,
9,1,100 nF,,0603YC104KAZ2A,C7,AVX,0603YC104KAZ2A,387,,,
10,1,100 nF,,0603YC104KAZ2A,C8,AVX,0603YC104KAZ2A,378,,,
11,1,10 uF,,JMK105BJ105KV-F,C9,TAIYO YUDEN,JMK105BJ105KV-F,713,,,
12,1,100 nF,,0603YC104KAZ2A,C10,AVX,0603YC104KAZ2A,375,,,
13,1,6.8 pF,,885012005054,C11,Würth Elektronik,885012005054,301,,,
14,1,1 pF,,GRM1555C1H102JA01D,C12,Murata,GRM1555C1H102JA01D,298,,,
15,1,1 pF,,GJM1555C1H1R0WB01D,C13,Murata,GJM1555C1H1R0WB01D,304,,,
16,1,1 pF,,GJM1555C1H1R0WB01D,C14,Murata,GJM1555C1H1R0WB01D,313,,,
17,1,1 uF,,JMK105BJ105KV-F,C15,TAIYO YUDEN,JMK105BJ105KV-F,695,,,
18,1,12 pF,                                                    12 pF 0.25pF 50V  C0GNP0 04021005                                             ,C0402C120C5GACTU,C16,KEMET,C0402C120C5GACTU,319,,,
19,1,12 pF,                                                    12 pF 0.25pF 50V  C0GNP0 04021005                                             ,C0402C120C5GACTU,C17,KEMET,C0402C120C5GACTU,316,,,
20,1,100 nF,,CL05B104KP5VPNC,C18,Samsung,CL05B104KP5VPNC,14,,,
21,1,IND,,BLM18BD221SN1D,FL1,Murata,BLM18BD221SN1D,593,,,
22,1,CONN_005P_000C_1,,10118192-0001LF,J1,Amphenol ICC,10118192-0001LF,658,,,
23,1,M20-9990246,"                                                    2.54mm (0.1) Pitch SIL Vertical Throughboard Pin Header, 6.1mm mating pin height, tin, 2 contacts                                            ",M20-9990246,J2,Harwin,M20-9990246,443,,,
24,1,10 uH,,MLZ1608M100WTD25,L1,TDK,MLZ1608M100WTD25,704,,,
